B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.AB.2814.03A	0.139977871557917	0.0590708094165622	0.021943679142297	0.154852072643768	0	0.116115123040033	0	0	0.00314874056491873	0	0	0.0546846079889823	0.137632261076148	0.0714697114087927	0.00398145371775945	0.0196711173673602	0	0	0.0546976191536971	0	0.0948866263206597	0.0678683066011055	0.024	0.211305111941913	1.00140771341289
TCGA.AB.2899.03A	0.220996723247522	0	0.0962446822963757	0.0514497233297797	0.033617766328251	0	0.0258927411880008	0	0	0	0.070788555688929	0	0.414914209233409	0	0.00186801645913205	0.0236637647609109	0	0	0.0605638174676897	0	0	0	0	0.579949520009145	0.817832053331822
TCGA.AB.3001.03A	0.207450953000037	0	0.0593758544037186	0.200375729242102	0	0.0378241267196695	0	0.00865277044571395	0.00946991083067081	0	0.0751450840408641	0	0.232245298609237	0	0	0.00856800761526617	0	0.0129814691000367	0.142237887418343	0	0.0056729085743421	0	0.015	0.259229721152722	0.984445353559566
TCGA.AB.2813.03A	0.0624148706435954	0	0.0881363970849041	0.022377825316018	0	0.00738563543458619	0.00515055272193808	0	0.0014629321598105	0	0.0213494589716523	0	0.753893301742906	0	0	0.00642000951609488	0	0.00059374546699483	0.0100875890728231	0	0	0.0207276818686763	0.001	0.422472664815689	0.932242261323358
TCGA.AB.2942.03A	0.0336073230255555	0.0218700578559062	0.00979794195860534	0.0115385993993777	0	0.183057939984222	0	0	0.0148916312949116	0	0.036909498863458	0	0.502546871822469	0	3.6745523169252e-05	0.0419784294667724	0	0	0.126104520133399	0	0.0176604406721541	0	0.001	0.441909338089086	0.897734374280168
TCGA.AB.2930.03A	0.102256557724939	0.0942270205950859	0	0.0248117093043743	0.000367399738461924	0.0969600785921704	0	0	0	0	0.0819796630584998	0	0.329337125086576	0	0.0029385555504792	0.0611537814316061	0	0	0.0361450851081111	0.00516565976954255	0.164657364040154	0	0.013	0.271664174577291	0.976969828744768
TCGA.AB.2811.03B	0.0343338852810553	0.0547003356630742	0.028093503914931	0.0453729533427263	0	0.0323814184352124	0.00469766151399577	0	0.0235285911686672	0	0.112063092312625	0	0.4436167329034	0	0	0.0841886123943849	0	0	0.0755058514731703	0.0049498816859073	0.05656747991085	0	0.045	0.164777392241193	1.0283609524342
TCGA.AB.2842.03A	0.0285191264019547	0.000569720650976687	0	0.0243551281867978	0	0.0374281716227464	0	0	0.00264819167593012	0	0.00678973770667982	0	0.827492821232917	0	0	0	0	0.00609861770625894	0.048302280581394	0	0.0177962042343443	0	0.0620000000000001	0.144862750782142	1.12056550647324
TCGA.AB.2911.03A	0.0302015128344558	0.0183570856743478	0	0.0373602542931413	0.0391796893832414	0.00949835050102566	0	0	0.0138446264713451	0	0.0283315289559164	0	0.705466102424928	0	0	0.0198440938874471	0.000162300096378666	0	0.0702098946960416	0	0.027544560781731	0	0	0.614016481549346	0.789938496177017
TCGA.AB.2825.03A	0.0043169367497956	0.0225535073862765	0	0.0151044551092395	0	0.032924906409675	0.0106569028835342	0	0.00839580912642437	0	0.0396578944273457	0	0.713365649962057	0	0	0.0373761705216992	0	0	0.0571101080978105	0	0.0585376593261428	0	0	0.565072439475593	0.82627604038866
TCGA.AB.2920.03B	0.305333816287055	0	0.173261445341306	0.0975020052517057	0.0182835789718865	0.0664685537620513	0.00863785591591562	0	0.0154236626121254	0	0.0115705935174557	0.00622732834073304	0.0951503812745867	0	0.00471136016426658	0.0200141468062943	0	0	0.075591986698962	0.000232808401798767	0.101590476653857	0	0	0.453163886989369	0.897628102536315
TCGA.AB.2998.03A	0.0388100405267955	0	0.0101300938035854	0.013434489909687	0	0.0681615767626742	0	0.00356779392174873	0.00297610554128251	0	0.101755336653987	0	0.305978903529016	0	0	0.135118881190323	0	0	0.197917782709707	0	0.122148995451194	0	0.035	0.185510919991253	1.01151644057727
TCGA.AB.2916.03A	0.0126808372547077	0	0.00211885466865966	0.00623035796865336	0.0444919368902697	0.0668462500520057	0.0202334370385675	0	0	0	0.0503604192961274	0	0.705170571380342	0	0	0.00418089069615966	0	0	0.0351613089912786	0	0	0.0525251357632293	0	0.840773212933924	0.587462369533253
TCGA.AB.2839.03A	0	0.0600979185098089	0.0293121393428259	0.00584506732386914	0	0.08861087160105	0	0	0	0	0.0753226029977971	0	0.0471637566992893	0	0	0.0231982748379441	0	0	0.423188714142444	0	0.247260654544972	0	0.012	0.281015766564735	0.987517464277461
TCGA.AB.2965.03A	0.0376136406214841	0	0.01355028412771	0	0	0.0936588389244424	0	0	0	0	0.0215084217335601	0	0.58528906007786	0	0.0021145988961014	0.0570694748555421	0	0	0.0765602410109006	0	0.112635439752399	0	0.016	0.245580210452516	1.01168931118374
TCGA.AB.2944.03A	0.0726620644991286	0.0892504916995446	0.0446356367260349	0.0415286817643693	0	0.206152351623181	0	0	0	0	0.0554857503681376	0.0368884723566877	0.158662338936354	0	0	0.0123933340320037	0	0.0056029099087476	0.0769463185542779	0	0.182147356480538	0.0176442930509951	0.014	0.260014480260469	0.978699264944139
TCGA.AB.2861.03A	0.130456293521151	0	0.0449238538993973	0.0237314739568332	0	0.0725664816024838	0.00790141413399778	0	0	0	0.0731599140934132	0	0.46123458928623	0	0	0.172771812474632	0	0.0042783891214697	0.00897577791039101	0	0	0	0.0620000000000001	0.14570973076103	1.0455626961324
TCGA.AB.2843.03A	0.160081959156154	0.0477373391454144	0.0613722556837971	0.0546572039847132	0.0598677975111229	0	0.0365793215220205	0	0.0205556997399709	0	0.089294424218665	0	0.178611602795293	0	0	0.145236329252706	0	0.000551425960376909	0.137367384665798	0	0.00808725636396763	0	0	0.511434192342218	0.86432089885027
TCGA.AB.2933.03A	0.163012971475979	0	0.0391294733467141	0.000390306201075333	0	0.0229146666378839	0.0422764352894066	0	0.00685818799209105	0	0.0556295072608705	0	0.568592482131985	0.00898751146249964	0	0.00030719516692053	0	0	0.0448976500387645	0	0.0337964045954133	0.0132072084003962	0	0.623552715470014	0.786739424875836
TCGA.AB.2894.03A	0.0323479200974415	0.111143721406603	0	0.102232070054175	0.0191856505682003	0.0305321454248525	0	0	0	0.0203101155376275	0.0651630179305757	0	0.203248318111855	0	0.00140560252735833	0.28244650586126	0	0	0.0444405897554443	0	0.0875443427246074	0	0.013	0.276540856759401	0.969545071700044
TCGA.AB.2888.03B	0.0145154469515973	0	0.0161688569149004	0.0147558909294328	0.00382870688720629	0.089956310254021	0.00973709335293419	0	0.00591915428946631	0	0.0459786809156846	0	0.737384354947604	0.00231007908498775	0	0.000238310314219979	0	0	0.0142609662900942	0	0.0432592745280814	0.00168687433976921	0	0.636584055966762	0.771911277249693
TCGA.AB.2900.03A	0	0.0259686884475066	0	0.053812359124384	0	0.0296513170478378	0	0	0.0159936676710684	0	0.0309436517526806	0	0.323121470307171	0	0.00726931433819824	0.0870526047267822	0	0	0.206248857656607	0	0.219938068927764	0	0.00800000000000001	0.313768093298157	0.960142159006981
TCGA.AB.2966.03A	0.141740413748074	0.0725011069349988	0.115698903104747	0.0989127876027698	0.0366932618079933	0.379847436684355	0	0	0.00622315045118693	0.00865951166616319	0.0898474148647667	0	0.00500213278810585	0	0	0.00792559132082996	0	0.00439791994925163	0.00410530543242289	0.0175952539656867	0.0108498096786485	0	0.003	0.349908013951507	0.959952324451537
TCGA.AB.2963.03A	0.0389041280262074	0	0.00703762215780713	0	0	0.0758698654238213	0	0	0.00795011185398793	0	0.0417240617148461	0	0.455008002066947	0	0.000919626649842301	0.0266377009293236	0	0	0.172940500691679	0	0.104253428013251	0.0687549524722872	0.026	0.204015280349222	1.02316432796055
